place_id,name,lat,lon,osm_tag,osm_type,category,cuisine,street,housenumber,website,opening_hours,district,n_texts,share_pos,share_neg,mean_score,net_sentiment,net_sentiment_shrunk,confidence
node/15209248,The Better Half,50.8256025,-0.1751866,amenity,pub,nightlife,,Hove Place,1,,,seafront,27,0.37037037037037035,0.25925925925925924,0.111232907683761,0.1111111111111111,0.12202070285316632,0.84375
node/24343327,Queen Victoria Statue,50.8246296,-0.1692588,tourism,artwork,culture,,,,,,seafront,33,0.48484848484848486,0.24242424242424243,0.27262248414935486,0.24242424242424243,0.23433322345529795,0.868421052631579
node/26944712,Rose Garden,50.8393318,-0.1728485,leisure,garden,outdoor,,,,,,hove,7,0.42857142857142855,0.5714285714285714,-0.14321998187473842,-0.14285714285714285,-0.007944792391556479,0.5833333333333334
node/26944730,Goldstone,50.8394657,-0.1737027,tourism,attraction,culture,,,,,,hove,8,0.625,0.125,0.26046851277351374,0.5,0.37728173010010174,0.6153846153846154
node/87342618,Cineworld,50.8126894,-0.1059658,amenity,cinema,culture,,,,https://www.cineworld.co.uk/cinemas/brighton/014,,seafront,35,0.42857142857142855,0.34285714285714286,0.090376045022692,0.08571428571428569,0.09761656228253304,0.875
node/90615655,The Meeting Place,50.8222182,-0.1569902,amenity,cafe,cafe,ice_cream;breakfast;burger;sandwich;salad,Kings Esplanade,,https://www.themeetingplacecafe.co.uk/,,seafront,29,0.3793103448275862,0.27586206896551724,-0.01970514346813335,0.10344827586206895,0.11484301445003887,0.8529411764705882
node/90615738,Fortune of War,50.8203555,-0.1445745,amenity,pub,nightlife,,,,https://www.fortuneofwar.pub/,,the_lanes,3,0.0,0.0,-0.32516862948735553,0.0,0.11308281141266528,0.375
node/90615739,Brighton Fishing Museum,50.8199494,-0.1420448,tourism,museum,culture,,,,https://www.fishingquarter.co.uk/fishing-museum,Mo-Su 10:00-18:15,the_lanes,3,0.3333333333333333,0.0,-0.17093394200007117,0.3333333333333333,0.2380828114126653,0.375
node/274720211,Royal Standard,50.8276954,-0.1418191,amenity,pub,nightlife,,Queen's Road,59,,,north_laine,4,0.5,0.0,0.47492364048957825,0.5,0.32274027681125805,0.4444444444444444
node/282413494,Chamuyo,50.8214376,-0.1430114,amenity,restaurant,food,,Middle Street,62,,,the_lanes,4,0.0,0.75,-0.9966230094432831,-0.75,-0.23281527874429753,0.4444444444444444
node/306592092,Prince Albert,50.8284867,-0.1406336,amenity,pub,nightlife,,Trafalgar Street,48,https://princealbertbrighton.co.uk/,,north_laine,8,0.75,0.125,0.7485541701316833,0.625,0.45420480702317867,0.6153846153846154
node/306593273,The Earth and Stars,50.8248296,-0.1421594,amenity,pub,nightlife,,Windsor Street,46,https://www.earthandstars.pub/,,north_laine,6,0.3333333333333333,0.16666666666666666,0.33225442965825397,0.16666666666666666,0.17315113557284748,0.5454545454545454
node/306593798,Lord Nelson,50.828306,-0.1390474,amenity,pub,nightlife,,Trafalgar Street,36,https://lordnelsonbrighton.co.uk/,"Mo-Th 11:00-23:00; Fr,Sa 11:00-23:30; Su 12:00-22:00",north_laine,6,0.3333333333333333,0.0,0.6118664741516113,0.3333333333333333,0.2640602264819384,0.5454545454545454
node/306593875,Great Eastern,50.8280398,-0.1359969,amenity,pub,nightlife,,Trafalgar Street,103,https://www.greatukpubs.co.uk/the-great-eastern-brighton,,north_laine,9,0.4444444444444444,0.2222222222222222,0.33294281032350326,0.2222222222222222,0.20747589223580873,0.6428571428571429
node/306593910,Prince George,50.8279027,-0.1361847,amenity,pub,nightlife,,Trafalgar Street,5,http://www.princegeorge.pub/,,north_laine,5,0.6,0.2,0.2119101405143738,0.39999999999999997,0.2904662491301322,0.5
node/308766290,The Eddy,50.8276448,-0.1434626,amenity,pub,nightlife,,Upper Gloucester Road,67A,,,north_laine,9,0.4444444444444444,0.2222222222222222,-0.042326251665751116,0.2222222222222222,0.20747589223580873,0.6428571428571429
node/416681995,Odeon,50.8212693,-0.145397,amenity,cinema,culture,,West Street,,https://www.odeon.co.uk/cinemas/brighton/,,the_lanes,7,0.5714285714285714,0.2857142857142857,0.14364995275224965,0.2857142857142857,0.24205520760844354,0.5833333333333334
node/416683903,The Bright Helm,50.8223525,-0.144318,amenity,pub,nightlife,,West Street,20A-22,https://www.jdwetherspoon.com/pubs/all-pubs/england/east-sussex/the-bright-helm-brighton,,the_lanes,5,0.4,0.2,-0.1856311202049255,0.2,0.19046624913013224,0.5
node/419697922,Queen's Head,50.8282634,-0.1415712,amenity,pub,nightlife,,Queen's Road,69-70,,,north_laine,4,0.25,0.75,-0.49938294291496277,-0.5,-0.12170416763318641,0.4444444444444444
node/485265904,Caffè Nero,50.8276382,-0.1688348,amenity,cafe,cafe,coffee_shop,Church Road,89A,https://www.caffenero.com/uk/stores/hove-church-rd,Mo-Fr 06:30-18:30; Sa 07:00-18:30; Su 07:30-18:30,hove,5,0.6,0.0,0.9944399952888489,0.6,0.3904662491301322,0.5
node/497189730,Wolfox Avenue,50.8203893,-0.1305766,amenity,cafe,cafe,,St. James's Street,56 - 58,,Mo-Su 07:30-17:30,kemptown,4,0.75,0.0,0.9504213631153107,0.75,0.43385138792236916,0.4444444444444444
node/503251372,Terraces,50.8194439,-0.1333762,amenity,restaurant,food,seafood,Madeira drive,Unit 8,https://the-terraces.co.uk/,,kemptown,5,0.8,0.2,0.5998667001724243,0.6000000000000001,0.3904662491301323,0.5
