crime_id,month,category,lat,lon,street,outcome,is_atmosphere,district
136691320,2026-07,anti-social-behaviour,50.812957,-0.105946,On or near Parking Area,,True,seafront
136691773,2026-07,anti-social-behaviour,50.815218,-0.10726,On or near De Courcel Road,,True,other
136691774,2026-07,anti-social-behaviour,50.832647,-0.105064,On or near Albourne Close,,True,other
136691895,2026-07,anti-social-behaviour,50.828836,-0.167089,On or near Wilbury Grove,,True,hove
136691896,2026-07,anti-social-behaviour,50.825422,-0.161599,On or near Holland Mews,,True,other
136691905,2026-07,anti-social-behaviour,50.82113,-0.135431,On or near Supermarket,,True,kemptown
136692038,2026-07,anti-social-behaviour,50.828207,-0.193638,On or near Welbeck Avenue,,True,hove
136692042,2026-07,anti-social-behaviour,50.834908,-0.169989,On or near Petrol Station,,True,hove
136692065,2026-07,anti-social-behaviour,50.812654,-0.10224,On or near Palm Drive,,True,other
136692182,2026-07,anti-social-behaviour,50.822592,-0.139121,On or near Prince's Place,,True,the_lanes
136692331,2026-07,anti-social-behaviour,50.838663,-0.147558,On or near Preston Road,,True,other
136692340,2026-07,anti-social-behaviour,50.829317,-0.138953,On or near Conference/exhibition Centre,,True,other
136692342,2026-07,anti-social-behaviour,50.827958,-0.136096,On or near Trafalgar Court,,True,north_laine
136692451,2026-07,anti-social-behaviour,50.819411,-0.138722,On or near Grand Junction Road,,True,the_lanes
136692464,2026-07,anti-social-behaviour,50.833552,-0.150799,On or near Caburn Road,,True,other
136692632,2026-07,anti-social-behaviour,50.812654,-0.10224,On or near Palm Drive,,True,other
136692758,2026-07,anti-social-behaviour,50.831389,-0.121262,On or near Elm Grove,,True,other
136689923,2026-07,anti-social-behaviour,50.833367,-0.132941,On or near Canterbury Drive,,True,other
136689922,2026-07,anti-social-behaviour,50.82113,-0.135431,On or near Supermarket,,True,kemptown
136689920,2026-07,anti-social-behaviour,50.821404,-0.138459,On or near Nightclub,,True,the_lanes
136689919,2026-07,anti-social-behaviour,50.823118,-0.141074,On or near North Street,,True,the_lanes
136693157,2026-07,anti-social-behaviour,50.832949,-0.13888,On or near Elder Place,,True,other
136693168,2026-07,anti-social-behaviour,50.816295,-0.111604,On or near Lewes Crescent,,True,other
136693313,2026-07,anti-social-behaviour,50.8308,-0.148551,On or near Goldsmid Road,,True,other
136693323,2026-07,anti-social-behaviour,50.821756,-0.138259,On or near Theatre/concert Hall,,True,the_lanes
136693324,2026-07,anti-social-behaviour,50.832172,-0.13813,On or near York Hill,,True,other
136693483,2026-07,anti-social-behaviour,50.822486,-0.147673,On or near Cannon Place,,True,other
136693493,2026-07,anti-social-behaviour,50.830643,-0.139227,On or near Fleet Street,,True,other
136693645,2026-07,anti-social-behaviour,50.81775,-0.118672,On or near Eastern Terrace Mews,,True,kemptown
136693646,2026-07,anti-social-behaviour,50.826956,-0.117364,On or near Queensway,,True,other
136689918,2026-07,anti-social-behaviour,50.822411,-0.142422,On or near Shopping Area,,True,the_lanes
136689917,2026-07,anti-social-behaviour,50.823208,-0.14391,On or near Cranbourne Sreet,,True,the_lanes
136689916,2026-07,anti-social-behaviour,50.840224,-0.143917,On or near Preston Park Avenue,,True,other
136689914,2026-07,anti-social-behaviour,50.823716,-0.147581,On or near Clarence Square,,True,other
136689911,2026-07,anti-social-behaviour,50.82467,-0.171,On or near King's Gardens,,True,seafront
136689909,2026-07,anti-social-behaviour,50.83861,-0.175568,On or near Petrol Station,,True,hove
136689908,2026-07,anti-social-behaviour,50.828656,-0.176823,On or near Miles Walk,,True,hove
136689907,2026-07,anti-social-behaviour,50.827939,-0.177603,On or near Vallance Road,,True,hove
136689808,2026-07,anti-social-behaviour,50.813648,-0.103633,On or near Supermarket,,True,other
136689806,2026-07,anti-social-behaviour,50.842736,-0.111602,On or near The Avenue,,True,other
136689793,2026-07,anti-social-behaviour,50.831339,-0.137737,On or near Parking Area,,True,other
136689791,2026-07,anti-social-behaviour,50.823118,-0.141074,On or near North Street,,True,the_lanes
136689790,2026-07,anti-social-behaviour,50.820675,-0.141284,On or near Black Lion Street,,True,the_lanes
136689789,2026-07,anti-social-behaviour,50.829144,-0.141644,On or near Terminus Street,,True,north_laine
136689788,2026-07,anti-social-behaviour,50.833159,-0.14245,On or near New England Road,,True,other
136689787,2026-07,anti-social-behaviour,50.824298,-0.145173,On or near Regent Row,,True,other
136689786,2026-07,anti-social-behaviour,50.825603,-0.145178,On or near Centurion Road,,True,other
136689780,2026-07,anti-social-behaviour,50.830496,-0.155422,On or near Nizells Avenue,,True,other
136689779,2026-07,anti-social-behaviour,50.824451,-0.156483,On or near Ivy Place,,True,other
136689778,2026-07,anti-social-behaviour,50.827838,-0.159147,On or near Lansdowne Road,,True,other
136689775,2026-07,anti-social-behaviour,50.832798,-0.170271,On or near Denmark Villas,,True,hove
136689771,2026-07,anti-social-behaviour,50.834269,-0.187298,On or near Marmion Road,,True,hove
136689660,2026-07,anti-social-behaviour,50.825603,-0.145178,On or near Centurion Road,,True,other
136689659,2026-07,anti-social-behaviour,50.826774,-0.158948,On or near Farm Road,,True,other
136689658,2026-07,anti-social-behaviour,50.825616,-0.165951,On or near First Avenue,,True,other
136689657,2026-07,anti-social-behaviour,50.840043,-0.17003,On or near Hove Park Gardens,,True,hove
136689656,2026-07,anti-social-behaviour,50.824639,-0.176482,On or near Sussex Road,,True,seafront
136689585,2026-07,anti-social-behaviour,50.824913,-0.121735,On or near Cuthbert Road,,True,other
136689576,2026-07,anti-social-behaviour,50.827036,-0.13636,On or near St George's Mews,,True,north_laine
136689575,2026-07,anti-social-behaviour,50.823148,-0.139582,On or near New Road,,True,the_lanes
136689574,2026-07,anti-social-behaviour,50.823208,-0.14391,On or near Cranbourne Sreet,,True,the_lanes
136689573,2026-07,anti-social-behaviour,50.822451,-0.143784,On or near Nightclub,,True,the_lanes
136689571,2026-07,anti-social-behaviour,50.824224,-0.150671,On or near Stone Street,,True,other
136689569,2026-07,anti-social-behaviour,50.824538,-0.151738,On or near Parking Area,,True,other
136689567,2026-07,anti-social-behaviour,50.828509,-0.15381,On or near York Avenue,,True,other
136689565,2026-07,anti-social-behaviour,50.834423,-0.163234,On or near Wilbury Villas,,True,hove
136689564,2026-07,anti-social-behaviour,50.83497,-0.166593,On or near Wilbury Avenue,,True,hove
136689563,2026-07,anti-social-behaviour,50.825691,-0.170719,On or near Third Avenue,,True,other
136689561,2026-07,anti-social-behaviour,50.842767,-0.185548,On or near Nevill Avenue,,True,other
136689556,2026-07,anti-social-behaviour,50.832839,-0.200702,On or near Portland Villas,,True,other
136689450,2026-07,anti-social-behaviour,50.816676,-0.107883,On or near Supermarket,,True,other
136689449,2026-07,anti-social-behaviour,50.826196,-0.10818,On or near Parking Area,,True,other
136689448,2026-07,anti-social-behaviour,50.832267,-0.113757,On or near May Road,,True,other
136689446,2026-07,anti-social-behaviour,50.836923,-0.123681,On or near Gladstone Place,,True,other
136689422,2026-07,anti-social-behaviour,50.829993,-0.158353,On or near Somerhill Road,,True,other
136692759,2026-07,anti-social-behaviour,50.837791,-0.116659,On or near Ladysmith Road,,True,other
