district,month,incidents,atmosphere,atmosphere_share
hove,2023-08,326,201,0.6165644171779141
hove,2023-09,271,155,0.5719557195571956
hove,2023-10,292,162,0.5547945205479452
hove,2023-11,240,146,0.6083333333333333
hove,2023-12,194,131,0.6752577319587629
hove,2024-01,203,141,0.6945812807881774
hove,2024-02,197,142,0.7208121827411168
hove,2024-03,242,166,0.6859504132231405
hove,2024-04,257,166,0.6459143968871596
hove,2024-05,266,151,0.5676691729323309
hove,2024-06,291,176,0.6048109965635738
hove,2024-07,339,187,0.551622418879056
hove,2024-08,317,169,0.5331230283911672
hove,2024-09,265,129,0.4867924528301887
hove,2024-10,299,184,0.6153846153846154
hove,2024-11,282,154,0.5460992907801419
hove,2024-12,276,156,0.5652173913043478
hove,2025-01,253,138,0.5454545454545454
hove,2025-02,226,134,0.5929203539823009
hove,2025-03,280,200,0.7142857142857143
hove,2025-04,251,163,0.649402390438247
hove,2025-05,289,180,0.6228373702422145
hove,2025-06,261,155,0.5938697318007663
hove,2025-07,297,181,0.6094276094276094
hove,2025-08,276,176,0.6376811594202898
hove,2025-09,263,153,0.5817490494296578
hove,2025-10,284,153,0.5387323943661971
hove,2025-11,215,147,0.6837209302325581
hove,2025-12,182,123,0.6758241758241759
hove,2026-01,223,143,0.6412556053811659
hove,2026-02,227,143,0.6299559471365639
hove,2026-03,267,174,0.651685393258427
hove,2026-04,269,184,0.6840148698884758
hove,2026-05,305,210,0.6885245901639344
hove,2026-06,286,186,0.6503496503496503
hove,2026-07,324,210,0.6481481481481481
kemptown,2023-08,332,212,0.6385542168674698
kemptown,2023-09,310,209,0.6741935483870968
kemptown,2023-10,243,172,0.7078189300411523
kemptown,2023-11,227,139,0.6123348017621145
kemptown,2023-12,214,160,0.7476635514018691
kemptown,2024-01,184,133,0.7228260869565217
kemptown,2024-02,187,138,0.7379679144385026
kemptown,2024-03,246,165,0.6707317073170732
kemptown,2024-04,244,168,0.6885245901639344
kemptown,2024-05,275,174,0.6327272727272727
kemptown,2024-06,254,167,0.65748031496063
kemptown,2024-07,279,184,0.6594982078853047
kemptown,2024-08,334,198,0.592814371257485
kemptown,2024-09,284,147,0.5176056338028169
kemptown,2024-10,269,144,0.5353159851301115
kemptown,2024-11,263,149,0.5665399239543726
kemptown,2024-12,293,157,0.5358361774744027
kemptown,2025-01,302,147,0.4867549668874172
kemptown,2025-02,241,153,0.6348547717842323
kemptown,2025-03,259,188,0.7258687258687259
kemptown,2025-04,311,226,0.7266881028938906
kemptown,2025-05,260,184,0.7076923076923077
kemptown,2025-06,340,228,0.6705882352941176
kemptown,2025-07,336,229,0.6815476190476191
kemptown,2025-08,281,203,0.7224199288256228
kemptown,2025-09,243,157,0.6460905349794238
kemptown,2025-10,211,139,0.6587677725118484
kemptown,2025-11,178,126,0.7078651685393258
kemptown,2025-12,199,148,0.7437185929648241
kemptown,2026-01,193,148,0.7668393782383419
kemptown,2026-02,180,129,0.7166666666666667
kemptown,2026-03,233,167,0.7167381974248928
kemptown,2026-04,209,153,0.7320574162679426
kemptown,2026-05,247,189,0.7651821862348178
kemptown,2026-06,294,226,0.7687074829931972
kemptown,2026-07,312,241,0.7724358974358975
north_laine,2023-08,209,131,0.6267942583732058
north_laine,2023-09,177,107,0.6045197740112994
north_laine,2023-10,185,119,0.6432432432432432
north_laine,2023-11,194,114,0.5876288659793815
north_laine,2023-12,156,106,0.6794871794871795
north_laine,2024-01,161,113,0.7018633540372671
north_laine,2024-02,174,119,0.6839080459770115
north_laine,2024-03,194,135,0.6958762886597938
north_laine,2024-04,176,123,0.6988636363636364
north_laine,2024-05,213,131,0.6150234741784038
north_laine,2024-06,209,149,0.7129186602870813
north_laine,2024-07,211,146,0.6919431279620853
north_laine,2024-08,191,118,0.6178010471204188
north_laine,2024-09,172,97,0.563953488372093
north_laine,2024-10,194,120,0.6185567010309279
north_laine,2024-11,198,133,0.6717171717171717
north_laine,2024-12,172,125,0.7267441860465116
north_laine,2025-01,191,110,0.5759162303664922
north_laine,2025-02,128,78,0.609375
north_laine,2025-03,143,90,0.6293706293706294
north_laine,2025-04,166,95,0.572289156626506
north_laine,2025-05,173,114,0.6589595375722543
north_laine,2025-06,151,99,0.6556291390728477
north_laine,2025-07,205,134,0.6536585365853659
north_laine,2025-08,184,126,0.6847826086956522
north_laine,2025-09,150,100,0.6666666666666666
north_laine,2025-10,146,111,0.7602739726027398
north_laine,2025-11,125,89,0.712
north_laine,2025-12,115,77,0.6695652173913044
north_laine,2026-01,131,90,0.6870229007633588
north_laine,2026-02,121,79,0.6528925619834711
north_laine,2026-03,159,115,0.7232704402515723
north_laine,2026-04,162,124,0.7654320987654321
north_laine,2026-05,189,138,0.7301587301587301
north_laine,2026-06,169,110,0.650887573964497
north_laine,2026-07,178,130,0.7303370786516854
other,2023-08,1210,834,0.6892561983471074
other,2023-09,1217,797,0.6548890714872637
other,2023-10,1149,784,0.6823324630113142
other,2023-11,1115,725,0.6502242152466368
other,2023-12,1016,695,0.6840551181102362
other,2024-01,1044,720,0.6896551724137931
other,2024-02,963,684,0.7102803738317757
other,2024-03,1127,742,0.6583850931677019
other,2024-04,1078,693,0.6428571428571429
other,2024-05,1142,793,0.6943957968476357
other,2024-06,982,642,0.6537678207739308
other,2024-07,1236,811,0.6561488673139159
other,2024-08,1307,866,0.6625860749808722
other,2024-09,1140,749,0.6570175438596492
other,2024-10,1156,738,0.6384083044982699
other,2024-11,1059,662,0.6251180358829084
other,2024-12,1015,654,0.6443349753694582
other,2025-01,1079,693,0.6422613531047267
other,2025-02,1031,692,0.6711930164888458
other,2025-03,1128,766,0.6790780141843972
other,2025-04,1202,755,0.6281198003327787
other,2025-05,1214,843,0.6943986820428336
other,2025-06,1228,884,0.7198697068403909
other,2025-07,1258,872,0.6931637519872814
other,2025-08,1223,802,0.6557645134914145
other,2025-09,1050,698,0.6647619047619048
other,2025-10,1175,785,0.6680851063829787
other,2025-11,1074,710,0.6610800744878957
other,2025-12,968,645,0.6663223140495868
other,2026-01,1032,683,0.6618217054263565
other,2026-02,1053,698,0.6628679962013295
other,2026-03,1222,876,0.7168576104746317
other,2026-04,1242,861,0.6932367149758454
other,2026-05,1437,1001,0.6965901183020181
other,2026-06,1334,953,0.7143928035982009
other,2026-07,1536,1102,0.7174479166666666
seafront,2023-08,61,44,0.7213114754098361
seafront,2023-09,63,43,0.6825396825396826
seafront,2023-10,48,30,0.625
seafront,2023-11,40,23,0.575
seafront,2023-12,34,26,0.7647058823529411
seafront,2024-01,50,37,0.74
seafront,2024-02,30,23,0.7666666666666667
seafront,2024-03,57,49,0.8596491228070176
seafront,2024-04,55,38,0.6909090909090909
seafront,2024-05,65,52,0.8
seafront,2024-06,52,38,0.7307692307692307
seafront,2024-07,48,29,0.6041666666666666
seafront,2024-08,84,51,0.6071428571428571
seafront,2024-09,43,27,0.627906976744186
seafront,2024-10,42,33,0.7857142857142857
seafront,2024-11,56,35,0.625
seafront,2024-12,36,29,0.8055555555555556
seafront,2025-01,33,24,0.7272727272727273
seafront,2025-02,41,27,0.6585365853658537
seafront,2025-03,58,42,0.7241379310344828
seafront,2025-04,49,39,0.7959183673469388
seafront,2025-05,45,34,0.7555555555555555
seafront,2025-06,53,43,0.8113207547169812
seafront,2025-07,52,42,0.8076923076923077
seafront,2025-08,71,53,0.7464788732394366
seafront,2025-09,39,31,0.7948717948717948
seafront,2025-10,31,26,0.8387096774193549
seafront,2025-11,36,20,0.5555555555555556
seafront,2025-12,42,30,0.7142857142857143
seafront,2026-01,34,24,0.7058823529411765
seafront,2026-02,22,17,0.7727272727272727
seafront,2026-03,52,38,0.7307692307692307
seafront,2026-04,51,43,0.8431372549019608
seafront,2026-05,76,56,0.7368421052631579
seafront,2026-06,60,39,0.65
seafront,2026-07,71,53,0.7464788732394366
the_lanes,2023-08,433,268,0.6189376443418014
the_lanes,2023-09,325,173,0.5323076923076923
the_lanes,2023-10,373,220,0.5898123324396782
the_lanes,2023-11,339,186,0.5486725663716814
the_lanes,2023-12,301,188,0.6245847176079734
the_lanes,2024-01,309,197,0.6375404530744336
the_lanes,2024-02,264,148,0.5606060606060606
the_lanes,2024-03,368,200,0.5434782608695652
the_lanes,2024-04,330,157,0.47575757575757577
the_lanes,2024-05,373,217,0.5817694369973191
the_lanes,2024-06,397,261,0.6574307304785895
the_lanes,2024-07,436,260,0.5963302752293578
the_lanes,2024-08,464,256,0.5517241379310345
the_lanes,2024-09,365,248,0.6794520547945205
the_lanes,2024-10,352,192,0.5454545454545454
the_lanes,2024-11,339,202,0.5958702064896755
the_lanes,2024-12,276,172,0.6231884057971014
the_lanes,2025-01,290,181,0.6241379310344828
the_lanes,2025-02,284,180,0.6338028169014085
the_lanes,2025-03,367,250,0.6811989100817438
the_lanes,2025-04,398,253,0.635678391959799
the_lanes,2025-05,378,233,0.6164021164021164
the_lanes,2025-06,458,272,0.5938864628820961
the_lanes,2025-07,473,325,0.6871035940803383
the_lanes,2025-08,430,303,0.7046511627906977
the_lanes,2025-09,328,225,0.6859756097560976
the_lanes,2025-10,320,191,0.596875
the_lanes,2025-11,318,181,0.5691823899371069
the_lanes,2025-12,295,175,0.5932203389830508
the_lanes,2026-01,305,159,0.521311475409836
the_lanes,2026-02,322,189,0.5869565217391305
the_lanes,2026-03,334,200,0.5988023952095808
the_lanes,2026-04,377,220,0.583554376657825
the_lanes,2026-05,466,307,0.6587982832618026
the_lanes,2026-06,347,215,0.6195965417867435
the_lanes,2026-07,441,265,0.6009070294784581
