text_id,source,created_utc,text,district,place_id,place_name,lat,lon,category,sentiment_label,sentiment_score,topic
demo_002742,demo,2023-01-01 05:03:00+00:00,"First time visiting and surprisingly quiet corner of Kemptown, you can actually have a conversation.",kemptown,node/2424545910,Colson House,50.821142,-0.1300152,accommodation,pos,0.9995222091674804,noise
demo_000025,demo,2023-01-01 06:27:00+00:00,"Honestly, Kemptown is much like it always was, familiar in a comfortable way. Also, prices at New Steine Mews Hostel are about what you'd expect for Kemptown these days.",kemptown,node/9950988907,New Steine Mews Hostel,50.8209102,-0.1309422,accommodation,pos,0.999040186405182,unknown
demo_005873,demo,2023-01-01 06:42:00+00:00,The amount of rubbish left in Hove after the weekend is disgraceful although surprisingly good value at Stoneham Park considering how central Hove is.,hove,way/4241553,Stoneham Park,50.8344048,-0.1857203,outdoor,neu,0.9256402254104614,price
demo_004596,demo,2023-01-01 15:47:00+00:00,Surprisingly good value at Seagulls Fish & Chips considering how central Hove is.,hove,node/13640836058,Seagulls Fish & Chips,50.8351583,-0.1769744,food,pos,0.9996329545974731,price
demo_003932,demo,2023-01-01 21:18:00+00:00,"Not sure if it's just me but North Laine is much like it always was, familiar in a comfortable way and did a bit of shopping around Budgens, usual mix of stuff.",north_laine,node/6300081319,Budgens,50.8284147,-0.1410535,shopping,pos,0.9993391633033752,unknown
demo_000781,demo,2023-01-01 22:35:00+00:00,"Parked in the multi storey for Hove, expensive but at least it exists. Also, standard menu at Oxfam, does the job if you're hungry.",hove,node/10743732650,Oxfam,50.8312724,-0.1750599,shopping,neu,0.9906963109970092,food
demo_004945,demo,2023-01-02 13:26:00+00:00,"Seagulls doing seagull things on the Seafront, as always.",seafront,node/15209248,The Better Half,50.8256025,-0.1751866,nightlife,neu,0.9902557730674744,unknown
demo_008977,demo,2023-01-02 13:47:00+00:00,"Prices at The Actors are reasonable for what you get, which is rare around here.",the_lanes,node/10903318240,The Actors,50.8222678,-0.1359672,nightlife,neu,0.94938725233078,unknown
demo_002733,demo,2023-01-03 10:34:00+00:00,"Bit of a mixed one: Hove was busy, about what you'd expect for the time of year. Also, service at Healthy Vibes was ok, a bit slow but they were clearly short staffed.",hove,node/6709362767,Healthy Vibes,50.8285284,-0.1778718,outdoor,neg,-0.9988723397254944,service
demo_006765,demo,2023-01-03 19:19:00+00:00,"Not sure if it's just me but Kemptown is fine during the day, I'd be more careful late at night.",kemptown,node/11886089197,The Old Palace,50.8202945,-0.1343316,accommodation,neu,0.9931822419166564,unknown
demo_003133,demo,2023-01-03 20:28:00+00:00,"Seafront is much like it always was, familiar in a comfortable way and Seafront is about as clean as any city centre, which isn't saying much.",seafront,way/139322752,Helter Skelter,50.8155501,-0.1376066,culture,neu,-0.5903796553611755,cleanliness
